cosine_tag_review_mean,cosine_tag_review_max,cosine_title,cosine_reviews,cosine_tag,overall_mae,ci +/-,tagdl_diff,p-value
True,True,True,False,False,0.7518082630889057,0.020676073560642272,-0.0007618348460369181,0.5439890052532035
True,True,False,True,False,0.753338338918421,0.01896617634309694,-0.002798579545154676,0.6640935023014009
True,False,True,True,False,0.7536892510570743,0.020247217693510233,-0.0032656926283570376,0.6835148891339211
True,True,True,True,False,0.7539297081751255,0.019755125587916256,-0.003585774647240434,0.7022297149214975
True,False,False,False,False,0.7539480212376508,0.019984624252744165,-0.003610151892017155,0.7023572957124693
False,True,True,True,False,0.7542460587112629,0.020973092006196237,-0.004006881408821726,0.7170099808414343
True,False,True,False,False,0.7542678348609464,0.022696407874730817,-0.004035868506440957,0.7097915498480202
True,True,False,False,False,0.7545849484884389,0.021281030171588555,-0.004457991049228951,0.7365687755803881
True,False,False,True,False,0.7551352222095922,0.02026938533274203,-0.005190482251954331,0.7748403858716476
False,True,True,False,False,0.7555317028084375,0.024882936929026434,-0.005718253322135287,0.7696569290246669
False,True,False,False,False,0.7555882866476809,0.019759667832637162,-0.00579357431761243,0.8029294436755474
False,True,False,True,False,0.7556638886253377,0.02040327750538251,-0.005894211112381128,0.8029738545230536
False,False,True,True,False,0.7571606031626854,0.02446878718833201,-0.007886547270649273,0.846368153662478
False,False,True,False,False,0.7579837991746805,0.01996551862218232,-0.008982336173018296,0.9025252032142239
True,True,False,False,True,0.7586170979859952,0.019498493387731686,-0.00982534537035423,0.9233433119267039
True,True,True,False,True,0.7588151772080985,0.0200979629392104,-0.010089016489028255,0.9253899077274551
True,False,True,False,True,0.7589384384969775,0.0180666806766685,-0.010253094485613682,0.9382517586636437
False,False,False,True,False,0.7591896493715611,0.023779689519327074,-0.010587491256871043,0.9159055428699145
True,True,True,True,True,0.7592188783514432,0.019573567430799965,-0.010626399112734875,0.9375159790792056
False,False,False,False,False,0.7592809236239791,0.022960282913422447,-0.010708990038952529,0.9223826672190494
True,False,False,True,True,0.7596504436737657,0.01945347663168251,-0.01120087285162258,0.9469814135991437
True,True,False,True,True,0.7597453252320738,0.019979971137501384,-0.011327173461827905,0.9465370495239207
False,True,True,False,True,0.7598199560367056,0.020255582354341217,-0.011426517489615604,0.9467715784688859
False,True,True,True,True,0.7601113144050913,0.020887622196262834,-0.011814356184212279,0.9494483280914786
False,True,False,True,True,0.7603865284569356,0.020968970540162113,-0.01218070453793677,0.9538301626931562
True,False,False,False,True,0.761074066594035,0.02123085522967716,-0.013095913855779668,0.9630883593646504
True,False,True,True,True,0.7611173975743101,0.019647214226024223,-0.013153593444385958,0.9688822915663645
False,True,False,False,True,0.7618773362465012,0.020271311743413678,-0.01416517798966322,0.9752402629833083
False,False,True,True,True,0.7660026751000111,0.02213294526492038,-0.01965658036323882,0.9938551912520159
False,False,True,False,True,0.767037170885468,0.021742686272010925,-0.021033638785210303,0.9962236321870549
False,False,False,False,True,0.7679402501195939,0.022504679516592407,-0.02223576341688428,0.9970239531931855
False,False,False,True,True,0.7688894396995384,0.02347192083925287,-0.0234992673610138,0.9975856690473297
